Date,Product,Category,Region,Sales,Quantity,Unit_Price,Discount,Profit
2024-01-15,Widget A,Electronics,North,12500.50,25,500.00,0.05,2500.00
2024-01-16,Gadget B,Electronics,South,9800.75,14,700.00,0.00,1960.15
2024-01-17,Tool C,Hardware,East,15600.00,30,520.00,0.10,3120.00
2024-01-18,Widget A,Electronics,West,11250.25,22,500.00,0.00,2250.05
2024-01-19,Device D,Electronics,North,8750.00,10,875.00,0.15,1312.50
2024-01-20,Gadget B,Electronics,South,14700.00,21,700.00,0.00,2940.00
2024-01-21,Tool C,Hardware,East,10400.00,20,520.00,0.05,2080.00
2024-01-22,Widget A,Electronics,West,10000.00,20,500.00,0.00,2000.00
2024-01-23,Device D,Electronics,North,13125.00,15,875.00,0.00,1968.75
2024-01-24,Gadget B,Electronics,South,11200.00,16,700.00,0.10,2016.00
2024-01-25,Tool C,Hardware,East,18200.00,35,520.00,0.00,3640.00
2024-01-26,Widget A,Electronics,West,13750.00,27,500.00,0.05,2750.00
2024-01-27,Device D,Electronics,North,9625.00,11,875.00,0.10,1443.75
2024-01-28,Gadget B,Electronics,South,12600.00,18,700.00,0.00,2520.00
2024-01-29,Tool C,Hardware,East,13000.00,25,520.00,0.05,2600.00
2024-01-30,Widget A,Electronics,West,15000.00,30,500.00,0.00,3000.00
2024-02-01,Device D,Electronics,North,10500.00,12,875.00,0.00,1575.00
2024-02-02,Gadget B,Electronics,South,16100.00,23,700.00,0.05,3220.00
2024-02-03,Tool C,Hardware,East,11440.00,22,520.00,0.00,2288.00
2024-02-04,Widget A,Electronics,West,8750.00,17,500.00,0.10,1575.00
2024-02-05,Device D,Electronics,North,12250.00,14,875.00,0.00,1837.50
2024-02-06,Gadget B,Electronics,South,9800.00,14,700.00,0.00,1960.00
2024-02-07,Tool C,Hardware,East,15600.00,30,520.00,0.10,3120.00
2024-02-08,Widget A,Electronics,West,11250.00,22,500.00,0.05,2250.00
2024-02-09,Device D,Electronics,North,8750.00,10,875.00,0.15,1312.50
2024-02-10,Gadget B,Electronics,South,14700.00,21,700.00,0.00,2940.00
2024-02-11,Tool C,Hardware,East,10400.00,20,520.00,0.05,2080.00
2024-02-12,Widget A,Electronics,West,10000.00,20,500.00,0.00,2000.00
2024-02-13,Device D,Electronics,North,13125.00,15,875.00,0.00,1968.75
2024-02-14,Gadget B,Electronics,South,11200.00,16,700.00,0.10,2016.00
2024-02-15,Tool C,Hardware,East,18200.00,35,520.00,0.00,3640.00
2024-02-16,Widget A,Electronics,West,13750.00,27,500.00,0.05,2750.00
2024-02-17,Device D,Electronics,North,9625.00,11,875.00,0.10,1443.75
2024-02-18,Gadget B,Electronics,South,12600.00,18,700.00,0.00,2520.00
2024-02-19,Tool C,Hardware,East,13000.00,25,520.00,0.05,2600.00
2024-02-20,Widget A,Electronics,West,15000.00,30,500.00,0.00,3000.00
2024-02-21,Device D,Electronics,North,10500.00,12,875.00,0.00,1575.00
2024-02-22,Gadget B,Electronics,South,16100.00,23,700.00,0.05,3220.00
2024-02-23,Tool C,Hardware,East,11440.00,22,520.00,0.00,2288.00
2024-02-24,Widget A,Electronics,West,8750.00,17,500.00,0.10,1575.00
2024-02-25,Device D,Electronics,North,12250.00,14,875.00,0.00,1837.50
2024-02-26,Gadget B,Electronics,South,9800.00,14,700.00,0.00,1960.00
2024-02-27,Tool C,Hardware,East,15600.00,30,520.00,0.10,3120.00
2024-02-28,Widget A,Electronics,West,11250.00,22,500.00,0.05,2250.00
2024-02-29,Device D,Electronics,North,8750.00,10,875.00,0.15,1312.50
2024-03-01,Gadget B,Electronics,South,14700.00,21,700.00,0.00,2940.00
2024-03-02,Tool C,Hardware,East,10400.00,20,520.00,0.05,2080.00
2024-03-03,Widget A,Electronics,West,10000.00,20,500.00,0.00,2000.00
2024-03-04,Device D,Electronics,North,13125.00,15,875.00,0.00,1968.75
2024-03-05,Gadget B,Electronics,South,11200.00,16,700.00,0.10,2016.00
2024-03-06,Tool C,Hardware,East,18200.00,35,520.00,0.00,3640.00
2024-03-07,Widget A,Electronics,West,13750.00,27,500.00,0.05,2750.00
2024-03-08,Device D,Electronics,North,9625.00,11,875.00,0.10,1443.75
2024-03-09,Gadget B,Electronics,South,12600.00,18,700.00,0.00,2520.00
2024-03-10,Tool C,Hardware,East,13000.00,25,520.00,0.05,2600.00
2024-03-11,Widget A,Electronics,West,15000.00,30,500.00,0.00,3000.00
2024-03-12,Device D,Electronics,North,10500.00,12,875.00,0.00,1575.00
2024-03-13,Gadget B,Electronics,South,16100.00,23,700.00,0.05,3220.00
2024-03-14,Tool C,Hardware,East,11440.00,22,520.00,0.00,2288.00
2024-03-15,Widget A,Electronics,West,8750.00,17,500.00,0.10,1575.00
2024-03-16,Device D,Electronics,North,12250.00,14,875.00,0.00,1837.50
2024-03-17,Gadget B,Electronics,South,9800.00,14,700.00,0.00,1960.00
2024-03-18,Tool C,Hardware,East,15600.00,30,520.00,0.10,3120.00
2024-03-19,Widget A,Electronics,West,11250.00,22,500.00,0.05,2250.00
2024-03-20,Device D,Electronics,North,8750.00,10,875.00,0.15,1312.50
2024-03-21,Gadget B,Electronics,South,14700.00,21,700.00,0.00,2940.00
2024-03-22,Tool C,Hardware,East,10400.00,20,520.00,0.05,2080.00
2024-03-23,Widget A,Electronics,West,10000.00,20,500.00,0.00,2000.00
2024-03-24,Device D,Electronics,North,13125.00,15,875.00,0.00,1968.75
2024-03-25,Gadget B,Electronics,South,11200.00,16,700.00,0.10,2016.00
2024-03-26,Tool C,Hardware,East,18200.00,35,520.00,0.00,3640.00
2024-03-27,Widget A,Electronics,West,13750.00,27,500.00,0.05,2750.00
2024-03-28,Device D,Electronics,North,9625.00,11,875.00,0.10,1443.75
2024-03-29,Gadget B,Electronics,South,12600.00,18,700.00,0.00,2520.00
2024-03-30,Tool C,Hardware,East,13000.00,25,520.00,0.05,2600.00
2024-03-31,Widget A,Electronics,West,15000.00,30,500.00,0.00,3000.00

